ID_1,RA_1,Dec,period,ID_2,Type,Subtype,Ra_degrees,Dec_Degrees,RA_2,Decl,I,V,V_I,P_1,T0_1,A_1,A_2,Separation
b313_304_52392,261.39339898,-37.96475094,0.429247,OGLE-BLG-RRLYR-49289,RRLyr,RRab,261.393375,-37.964777777777776,17:25:34.41,-37:57:53.2,16.869,-99.99,-99.99,0.4292497,7000.30088,0.649,-99.99,0.11818131774015853
b313_604_68654,261.74107591,-37.88614844,0.56699,OGLE-BLG-RRLYR-49703,RRLyr,RRab,261.74104166666666,-37.88616666666667,17:26:57.85,-37:53:10.2,18.583,-99.99,-99.99,0.5670047,7000.29096,0.41,-99.99,0.11735190425270942
b313_608_40175,261.86034759,-37.57532891,2.968152,OGLE-BLG-CEP-118,Cep,1,261.86033333333336,-37.57533333333333,17:27:26.48,-37:34:31.2,14.86,-99.99,-99.99,2.9685062,7000.20382,0.099,-99.99,0.043682814145096824
b314_104_63190,262.60820316,-36.86799149,19.600157,OGLE-BLG-T2CEP-0397,T2Cep,WVir,262.6082083333334,-36.868,17:30:25.97,-36:52:04.8,18.354,-99.99,-99.99,19.6021317,7007.12283,0.976,-99.99,0.03406701795042378
b314_104_55186,262.56305998,-36.88033685,10.787487,OGLE-BLG-ELL-001233,ECL,ELL,262.56304166666666,-36.880361111111114,17:30:15.13,-36:52:49.3,17.674,-99.99,-99.99,10.7873771,7005.7178,0.192,0.138,0.10202585550235241
b314_108_55758,262.81616684,-36.50344013,0.308008,OGLE-BLG-ECL-024546,ECL,C,262.8161666666666,-36.50344444444445,17:31:15.88,-36:30:12.4,18.7,-99.99,-99.99,0.6160127,7000.6117,0.568,0.548,0.01554009688894172
b314_108_34606,262.72686388,-36.52211044,0.318451,OGLE-BLG-ECL-023784,ECL,C,262.72683333333333,-36.52211111111111,17:30:54.44,-36:31:19.6,18.777,-99.99,-99.99,0.6368987,7000.0851,0.527,0.516,0.08840630087757895
b314_108_21220,262.6944881,-36.503314,0.310634,OGLE-BLG-ECL-023461,ECL,C,262.6944583333334,-36.50333333333333,17:30:46.67,-36:30:12.0,17.182,19.349,2.167,0.3106348,7000.2883,0.811,0.803,0.11074225351937245
b314_108_76380,262.86481525,-36.53207572,0.368661,OGLE-BLG-ECL-024988,ECL,NC,262.8648333333333,-36.53208333333333,17:31:27.56,-36:31:55.5,18.276,-99.99,-99.99,0.7373122,7000.4982,0.355,0.282,0.059054813674537285
b314_108_27252,262.72468827,-36.49264377,0.674636,OGLE-BLG-ECL-023773,ECL,NC,262.7246666666667,-36.49263888888889,17:30:53.92,-36:29:33.5,15.736,17.728,1.992,1.3492868,7000.2679,0.15,0.068,0.06494584520033135
b314_108_48119,262.77341104,-36.52320739,0.387306,OGLE-BLG-ECL-024153,ECL,NC,262.77341666666666,-36.52322222222222,17:31:05.62,-36:31:23.6,19.226,-99.99,-99.99,0.7745975,7000.7013,1.237,0.16,0.05582210535451015
