ID,RA,Dec,period
b313_102_44001,260.85983756,-37.80070822,0.430346
b313_102_45084,260.94505068,-37.70699295,0.266882
b313_102_62855,260.93854563,-37.80473063,0.252985
b313_102_67126,260.92060452,-37.84949896,0.475188
b313_102_24267,260.78012278,-37.80489406,0.444277
b313_102_2977,260.7199821,-37.77716857,0.23726
b313_102_5660,260.78090016,-37.71917996,1.474796
b313_102_30432,260.82192582,-37.78334102,0.248624
b313_102_25710,260.81766055,-37.7673148,3.025993
b313_102_58972,261.00073118,-37.71092301,0.351356
b313_102_17857,260.82798647,-37.72090123,0.443215
b313_104_23079,261.42089259,-38.04268477,0.26054
b313_104_7231,261.39282748,-37.99762304,0.698129
b313_104_60299,261.55732616,-38.06753288,0.494623
b313_104_67037,261.59286114,-38.05895061,16.07717
b313_104_37590,261.52305522,-37.99576572,2.99886
b313_104_3187,261.41321159,-37.9541061,0.328997
b313_104_57796,261.4648703,-38.16173459,2.92526
b313_104_3629,261.43146112,-37.93507825,0.448087
b313_104_33960,261.435698,-38.07908551,0.550749
b313_104_10960,261.45364703,-37.94530435,0.364673
b313_104_56188,261.49242191,-38.12215815,51.546392
b313_104_63752,261.54648806,-38.09645791,0.368753
b313_104_65060,261.5046796,-38.15110922,1.40483
b313_104_14200,261.45430206,-37.96050425,2.479421
b313_104_42356,261.46104721,-38.09111579,0.949875
b313_104_30235,261.50560506,-37.9801409,1.922375
b313_106_44899,261.21509687,-37.40977613,1.729266
b313_106_28305,261.14533999,-37.40812647,3.225182
b313_106_26858,261.07544322,-37.4821073,0.886776
b313_106_35751,261.12997897,-37.46333863,0.368723
b313_106_44285,261.12220184,-37.51542879,0.223971
b313_106_61533,261.18727835,-37.52109307,0.345274
b313_106_14582,261.0921146,-37.39822518,0.431721
b313_106_6924,261.11176369,-37.33729034,0.373473
b313_106_46801,261.19651648,-37.44138131,980.392157
b313_106_4367,261.06633647,-37.37866535,0.233595
b313_106_29236,261.08238777,-37.48635199,465.116279
b313_106_16970,261.14655397,-37.34696697,0.383995
b313_106_62320,261.20945457,-37.49870898,1.086673
b313_106_69738,261.2462687,-37.48856698,0.356176
b313_106_54648,261.16297227,-37.51832252,1.25625
b313_106_42110,261.20555796,-37.40701095,0.514544
b313_108_57255,261.77154358,-37.75705327,0.222186
b313_108_45199,261.69140712,-37.80011092,0.644508
b313_108_12459,261.68409934,-37.67190626,0.237085
b313_108_42540,261.78662915,-37.67690985,0.268897
b313_108_2718,261.55919884,-37.77822009,0.200236
b313_108_62181,261.82648897,-37.71291053,0.372481
b313_108_22350,261.63597583,-37.7696509,0.221527
b313_108_71044,261.7827874,-37.80214856,1.509183
b313_108_80287,261.85922592,-37.75085656,1.138887
b313_108_35970,261.68188995,-37.77229901,1.104387
b313_108_75005,261.76502792,-37.83955394,0.525503
b313_108_39962,261.78491897,-37.66806315,362.318841
b313_108_15267,261.59761876,-37.78511543,0.313432
b313_110_51082,261.4215376,-37.17025147,0.23661
b313_110_25853,261.38302959,-37.10688174,0.427093
b313_110_29098,261.3590178,-37.150754,1.256313
b313_110_15021,261.33233338,-37.1118825,460.829493
b313_110_22767,261.34474915,-37.13655053,0.214353
b313_110_77902,261.50159731,-37.18781329,0.27073
b313_110_62790,261.42853019,-37.20937678,0.383127
b313_110_44243,261.39444702,-37.17373327,0.289694
b313_110_35894,261.4416953,-37.08323877,0.312321
b313_110_35536,261.36432712,-37.17268381,0.85803
b313_110_58918,261.45732156,-37.15997683,0.282009
b313_110_24451,261.3064367,-37.19006101,584.795322
b313_110_39092,261.41106795,-37.13265394,0.247755
b313_110_66213,261.40993106,-37.24532541,0.392321
b313_110_71442,261.45549592,-37.21424511,1.485575
b313_110_10594,261.30392311,-37.12426156,212.314225
b313_110_75723,261.44071086,-37.25031221,0.532686
b313_110_73578,261.44410552,-37.23696897,0.232635
b313_110_16123,261.40653091,-37.03032029,0.399034
b313_110_17467,261.32227129,-37.13650308,609.756098
b313_110_80634,261.43715053,-37.27633242,0.364227
b313_110_23047,261.3069517,-37.18242141,7.554011
b313_110_4678,261.35491758,-37.0385995,0.323812
b313_110_11614,261.33216898,-37.09581952,2.367761
b313_112_18036,261.91672037,-37.41638343,0.347997
b313_112_83296,262.09293362,-37.47468038,0.204697
b313_112_22260,261.97650393,-37.36195674,0.515647
b313_112_72926,262.02944392,-37.5081509,0.301362
b313_112_52562,262.03410075,-37.41818924,0.535756
b313_112_47579,261.94430471,-37.50472367,17.531557
b313_112_60711,261.96836621,-37.53111516,0.296728
b313_112_22347,261.92482952,-37.42424174,1.512013
b313_112_43316,261.94849753,-37.48227581,0.261812
b313_112_71146,262.08537795,-37.43360503,0.787402
b313_112_49357,261.96071051,-37.49240984,0.793644
b313_112_24022,261.89819428,-37.46273576,0.928143
b313_112_35533,262.00171022,-37.38601949,0.307406
b313_112_70457,262.03549328,-37.49059169,0.3471
b313_112_61479,261.99419792,-37.50339167,1.20308
b313_112_77919,262.11013381,-37.43183333,72.674419
b313_112_42278,261.90896209,-37.52504758,0.881671
b313_112_85867,262.08363287,-37.49722321,0.896242
b313_112_12806,261.88247215,-37.43597951,0.422536
b313_112_64552,261.96400303,-37.55176267,0.218044
b313_112_47560,262.01323752,-37.42217047,0.362624
b313_112_43653,261.98589145,-37.43893237,0.525713
b313_114_31073,261.59988605,-36.86059585,0.25002
b313_114_56365,261.73400825,-36.8196925,2.073226
b313_114_20892,261.57255652,-36.85010307,0.633722
b313_114_19653,261.60334613,-36.80841452,0.256341
b313_114_16639,261.63727431,-36.75564941,0.328677
b313_114_50165,261.65592578,-36.88213857,47.755492
b313_114_5938,261.58119487,-36.77725277,11.636025
b313_114_20603,261.56395519,-36.85906487,1.53858
b313_114_65173,261.6675464,-36.94212938,0.213648
b313_114_65950,261.76151229,-36.83383049,12.768131
b313_114_55541,261.66561798,-36.89703103,0.569256
b313_114_73842,261.79344519,-36.83524167,0.34144
b313_114_35445,261.58063381,-36.9026551,1.526997
b313_116_5446,262.12242504,-37.11982991,0.203872
b313_116_47058,262.29245642,-37.10280045,1.086343
b313_116_61797,262.23129881,-37.24424043,0.224962
b313_116_64914,262.33539947,-37.13160576,0.212326
b313_116_61038,262.33134645,-37.11886716,0.34276
b313_116_66522,262.34077054,-37.13229932,0.732322
b313_116_72306,262.36981622,-37.12351918,0.269409
b313_116_15711,262.21501648,-37.05377694,0.375011
b313_116_22752,262.16968866,-37.14093819,15.232292
b313_116_72253,262.34344947,-37.15547672,0.373005
b313_116_28328,262.14893447,-37.19225795,0.391189
b313_116_73899,262.27417932,-37.24789077,0.245309
b313_116_7673,262.08564582,-37.17412066,0.272107
b313_116_26454,262.1711202,-37.15683976,0.375344
b313_116_44826,262.24414297,-37.15153803,5.063804
b313_116_66318,262.31973653,-37.15712181,540.540541
b313_116_5501,262.0923171,-37.15648357,1.39334
b313_116_55138,262.33019941,-37.09324059,0.275803
b313_116_57247,262.24058805,-37.21216138,0.507818
b313_116_9277,262.20252464,-37.03983501,0.37325
b313_116_34792,262.23913698,-37.1120164,1.475557
b313_116_28078,262.24337176,-37.07645788,0.301752
b313_201_58312,260.56180324,-37.63561753,69.686411
b313_201_42148,260.61243497,-37.4938793,7.842522
b313_201_14568,260.42051917,-37.5492582,123.45679
b313_201_42068,260.60951391,-37.49684939,0.610903
b313_201_39528,260.54124574,-37.56293177,1.478066
b313_201_8227,260.47093642,-37.45148498,0.321825
b313_201_2498,260.35632785,-37.5507552,0.356887
b313_201_56840,260.60693435,-37.57537046,1.344321
b313_201_59619,260.5927273,-37.6073837,0.320941
b313_201_50599,260.61437326,-37.53460167,6.861534
b313_201_40847,260.49140855,-37.6280746,1.749475
b313_201_54389,260.52307893,-37.66054796,961.538462
b313_201_22142,260.54269584,-37.45463305,383.141762
b313_203_52290,261.10947235,-37.93487554,0.221533
b313_203_26963,261.09932311,-37.80006001,1.853122
b313_203_32922,261.04169992,-37.90361639,155.76324
b313_203_6829,260.95013435,-37.85817302,0.369775
b313_203_47562,261.17363926,-37.83555379,0.796229
b313_203_5070,261.0346078,-37.75081793,0.323054
b313_203_27080,261.12301129,-37.77338179,66.181337
b313_203_22981,261.08210619,-37.79631961,1.562646
b313_203_45600,261.09250892,-37.91857316,0.377007
b313_203_31524,261.11203965,-37.8132641,403.225806
b313_203_45018,261.19091359,-37.80171474,1960.784314
b313_203_39468,261.14206262,-37.82652232,1.276585
b313_203_36462,261.06709124,-37.89530964,2.778936
b313_203_18510,261.06846936,-37.78530021,23.020258
b313_205_48945,260.7230457,-37.31929925,0.397548
b313_205_37549,260.80780227,-37.17088872,0.270828
b313_205_50425,260.79831711,-37.23778268,0.58075
b313_205_35028,260.75564353,-37.22084775,0.366884
b313_205_70663,260.78050246,-37.35349222,0.293501
b313_205_31603,260.75676956,-37.20494101,8.561644
b313_205_73748,260.79536937,-37.352047,10.150223
b313_205_66990,260.76612518,-37.35201095,57.471264
b313_205_24123,260.76126333,-37.16678557,0.384177
b313_205_40982,260.78532226,-37.21178111,473.933649
b313_205_52401,260.81722942,-37.2242362,23.696682
b313_205_12473,260.73960274,-37.14297325,1.11637
b313_205_26178,260.77635521,-37.15810895,0.563247
b313_205_45152,260.71265482,-37.31477201,86.05852
b313_205_13327,260.67422734,-37.22304368,0.597704
b313_205_993,260.60293628,-37.25193962,0.410801
b313_205_17086,260.749182,-37.1516662,0.386157
b313_207_19881,261.23426993,-37.57158284,0.233569
b313_207_25471,261.35483892,-37.45386881,6.290495
b313_207_36634,261.2638447,-37.60697169,0.365533
b313_207_34646,261.30557426,-37.55004014,4.112857
b313_207_42248,261.40051763,-37.47106035,4.247727
b313_207_53865,261.35628405,-37.57201265,0.205902
b313_207_52149,261.36221637,-37.55796151,3.147723
b313_207_10827,261.30355337,-37.45405014,0.369459
b313_207_63911,261.41576855,-37.54538909,0.797111
b313_207_73851,261.44217333,-37.55784481,0.436015
b313_207_16014,261.27858755,-37.50426027,0.471087
b313_207_13152,261.26681429,-37.50646903,507.614213
b313_207_42443,261.31548897,-37.57160382,3.288716
b313_207_34521,261.26257577,-37.59984174,1.80437
b313_207_24277,261.26538631,-37.55370405,1.301897
b313_207_26209,261.27197337,-37.55406458,0.295751
b313_207_13506,261.29154233,-37.47897616,31.715826
b313_207_23665,261.23336041,-37.58852084,0.230841
b313_207_53675,261.36755606,-37.55797602,0.232962
b313_207_18744,261.26334347,-37.53298738,0.367454
b313_207_72078,261.4689124,-37.51872985,0.393828
b313_207_9932,261.24113203,-37.52359518,0.234414
b313_207_49308,261.39983514,-37.50156832,0.31366
b313_209_67722,261.13253246,-36.92932593,0.69391
b313_209_57373,261.02575189,-37.00979501,0.66093
b313_209_28096,261.00758255,-36.90135038,0.213793
b313_209_41001,261.07813682,-36.8782242,0.357488
b313_209_42269,261.04236254,-36.92608679,0.609946
b313_209_27260,260.98080505,-36.92851907,39.60396
b313_209_21439,260.9702452,-36.9132673,8.307028
b313_209_19258,260.93597313,-36.94365941,29.146022
b313_209_37176,261.07234398,-36.86737634,21.030494
b313_209_22117,260.96923147,-36.91767381,0.320487
b313_209_76593,261.16904746,-36.92743363,166.112957
b313_209_76512,261.07851693,-37.03320942,0.804706
b313_209_61684,261.05212834,-36.99705373,917.431193
b313_209_25838,260.9439407,-36.96489753,0.348851
b313_209_51120,261.11513775,-36.87958853,0.347158
b313_209_42659,261.00496266,-36.97165879,0.594615
b313_209_44174,260.97064967,-37.01862566,584.795322
b313_209_44875,261.09331455,-36.87819557,2.310376
b313_209_71235,261.11299461,-36.96824929,0.205129
b313_209_31189,261.06001418,-36.85430205,1000.0
b313_209_73968,261.08598383,-37.01254176,0.346541
b313_209_40479,260.98730176,-36.98185858,990.09901
b313_209_42630,260.96634872,-37.01667687,0.768947
b313_209_21860,260.95608449,-36.93181774,0.579764
b313_209_19918,261.02666244,-36.84069806,892.857143
b313_209_37652,261.08013554,-36.8604127,0.22515
b313_209_59346,261.02611075,-37.01747497,840.336134
b313_209_77845,261.18466883,-36.91536153,0.202633
b313_209_27044,261.04953228,-36.8472,2.84738
b313_209_45037,261.0571947,-36.92119368,30.469226
b313_209_2008,260.87526442,-36.93884019,0.228306
b313_209_60683,261.03600557,-37.01162706,490.196078
b313_209_73476,261.05075446,-37.05148768,0.944287
b313_209_4554,260.99583099,-36.80996623,12.784454
b313_211_14274,261.49782396,-37.23955299,0.389299
b313_211_48915,261.65851682,-37.19196979,751.879699
b313_211_39230,261.57579854,-37.25017378,0.253451
b313_211_2881,261.50159441,-37.18782305,0.270726
b313_211_23769,261.60328135,-37.15393096,0.217475
b313_211_12240,261.55259848,-37.16619443,24.533857
b313_211_74085,261.62155873,-37.34242531,0.37462
b313_211_5518,261.45772752,-37.2506675,0.211873
b313_211_16710,261.53466081,-37.20586356,0.201541
b313_211_50369,261.62457803,-37.23866129,0.569314
b313_211_49124,261.54784946,-37.32431179,69.396253
b313_211_56650,261.69335848,-37.18393425,1.303764
b313_211_68069,261.70849495,-37.21379725,2.227866
b313_211_66103,261.60151591,-37.33276608,0.26829
b313_211_38264,261.53571357,-37.29381918,0.65625
b313_211_77683,261.68201174,-37.28579324,0.358237
b313_211_28309,261.59874933,-37.17784931,18.656716
b313_211_11042,261.5252087,-37.19381784,0.876401
b313_211_77518,261.68366462,-37.28316197,0.26871
b313_211_5357,261.47321157,-37.23169938,0.350753
b313_211_83806,261.68625407,-37.3075961,0.212253
b313_211_42756,261.60483139,-37.23007669,0.372521
b313_211_40038,261.62731203,-37.19211968,0.254669
b313_211_9346,261.48237472,-37.23756632,0.286094
